index,type,sub_type,title,label
128,3,,Pressed to death by a Machine Component on a Vehicle Platform,4
130,7,,Struck by a Wire Rope of a Winch,3
131,20,,Struck by Fallen Metal Beam and Fell from Height,2
132,7,,Trapped by Bundles of Wooden Battens,4
136,5,,Fall to Death from a Plant Room,1
138,20,,Struck to Death by a Metal I-beam,2
139,20,,Struck to Death by a Metal Strut,2
141,3,,Trapped between a Mobile Crane and a Railing,4
143,3,,Trapped by the Conveyor Belt of a Rock Crushing Plant,4
144,5,,Fall from a Planter,1
145,3,,Knocked down by an Excavator,3
147,20,,Struck to Death by a Collapsed I-beam,2
148,20,,Struck to Death by a Reversing Water Wagon,3
150,3,,Pressed to Death by a Descending Lift Car,4
151,20,,Struck to Death by a Reversing Reach Stacker,3
157,3,,Pressed to Death by a Toppled Sliding Gate,4
158,20,,Struck by a Descending Material Hoist and Fell from Height,4
159,3,,Operator Pressed to Death by a Toppled Excavator,4
160,20,,Struck to Death by Falling Concrete Debris,2
161,20,,Crushed to Death by Toppled Aluminum Panels,4
162,20,,Struck to Death by a Toppled Wooden Crate,3
163,20,,Struck by Moving Vehicle on Carriageway,3
164,3,,Pressed to Death by a Collapsed Wooden Platform,4
165,3,,Struck by Machine Component being Stowed into a Container Truck Compartment by a Fork-lift Truck,3
166,20,,Struck to Death by a Reversing Reach Stacker,3
167,20,,Fall from a Pile Casing Rotator,1
170,20,,Struck to Death by a Burst Tyre,3
171,20,,Struck to death by Fallen Glass Panels,2
172,4,,Trapped by the Deformed Elevating Work Platform,4
175,3,,Knocked over by a Lorry,3
178,3,,Knocked over by a Lorry,3
180,7,,Fall from Receptacle Cage Top of a Material Hoist,1
185,3,,Fall from Lorry,1
187,3,,Fall from Truck-mounted Crane,1
188,3,,Trapped to Death by a Loader under Repair,4
192,20,,Struck by Toppled Metal Frame of a Reverse Circulation Drilling System,2
194,3,,Collapse of a Derrick Crane,4
195,3,,Trapped between a Cargo and a Metal Sliding Door,4
196,3,,Trapped by a Lift Car,4
198,20,,Struck by a Metal Bracket under Lifting,3
199,20,,Struck by a Fallen Load,2
200,3,,Trapped by a Lift Car,4
201,3,,Trapped inside a Lift Shaft,4
203,3,,Struck by an Excavator,3
204,20,,Struck by a Sheet Pile,2
209,3,,Struck by a load fallen from an Overturned Truck-mounted Crane,2
210,3,,Trapped by an Overturned Excavator,3
211,5,,Fall from a Planter,1
214,3,,Trapped by the Jib of a Truck-mounted Crane,4
215,4,,Fall from a Mobile Ladder Platform,1
216,3,,Crushed underneath the Crawler of an Excavator under Repair,4
217,3,,Collapse of a Tower Crane,4
218,3,,Overturning of a Wheel-mounted Crane,4
219,13,,Run over by a Maintenance Train,3
226,7,,Worker Trapped between Two Dollies,4
227,3,,Knocked down by a Fork-lift Truck,3
230,3,,Trapped underneath the Dump Body of a Grab Loader,4
231,3,,Trapped between a Refuse Container Tractor and a Refuse Tipper,4
233,3,,Trapped by the Conveyor Belt of a Concrete Batching Plant,4
235,3,,Fall from a Crawler-mounted Crane under Repair,1
236,20,,Crushed by a Collapsed Vehicle under Repair,4
237,3,,Trapped by an Overturned Fork-lift Truck,4
239,4,,Collapse of a Working Platform on Metal Falsework,4
241,20,,Struck by Moving Vehicle on a Carriageway,3
242,3,,Overturning of a Crawler-mounted Piling Rig,4
243,7,,Being Trapped by the Grab of a Grab Loader,4
244,3,,Falling from an Extended Outrigger of a Truck-mounted Crane,1
245,3,,Trapped in between a Vehicle and a Fork-lift Truck,4
250,20,,Struck by Moving Vehicle on Expressway,3
253,3,,Trapped by the Tail Lift of a Lorry,4
254,20,,Struck by a Moving Vehicle,3
259,3,,Overturning of a Truck-mounted Crane,4
261,20,,Struck to Death by Bursting of an Aircraft Tyre,3
262,20,,Struck by a Front Loader,3
263,3,,Struck by the Counterweight of a Lift,2
272,3,,Trapped by Moving Parts of a Concrete Batching Plant,4
276,3,,Trapped by a Load on the Loading Platform of a Truck-mounted Crane,4
277,3,,Struck by a Lorry,3
279,3,,Trapped by the Lifting Jib of a Truck-mounted Crane,4
280,3,,Trapped in between the Driving Cabin and the Boom of an Excavator,4
283,4,,Collapse of a Metal Working Platform,4
284,3,,Trapped by the Spiked Shafts of a Machine,4
287,3,,Collapse of the Mast of a High Lift Order Picker,4
288,3,,Overturn of a Front Loader,4
292,5,,Struck by Falling Units of Plant,2
293,3,,Struck by the Auxiliary Hook of a Crawler-mounted Crane,3
295,20,,Entangled with the Revolving Part of a Bench Type Drilling Machine,4
296,3,,Crushed by the Lattice Boom of a Crawler-mounted Crane,4
297,3,,Struck by the Counterweight of a Lift,2
298,4,,Failure of a Truck-mounted Elevating Work Platform,0
301,3,,Truck Being Lifted by a Gantry Crane,3
302,5,,Failure of a Bored Piling Plant,0
303,20,,Struck by Water Pipes,2
304,3,,Struck by Lift Car,4
305,4,,Collapse of Lifting Frame,4
309,20,,Struck by Falling Object,2
316,3,,Struck by a Telescopic Boom Detached from a Lorry-mounted Crane,2
320,3,,Struck by an Excavator,3
321,3,,Trapped by the Tailgate of a Truck,4
322,3,,A Fork-lift Truck Plunged into the Sea,0
323,20,,Struck by a backstay of a drilling rig,3
328,3,,Fall from a Lorry-mounted Crane,1
329,3,,Trapped by a Fork-lift Truck,4
331,3,,Struck by the Detached Telescopic Boom from a Truck,3
332,20,,Struck by an I-Beam Structure,2
333,20,,Struck by a Pile Casing,2
339,20,,Struck by a Falling Bored Pile Casing,2
342,20,,Struck by a Falling Drainage Pipe,2
345,3,,Ran over by a Reversing Dumper Truck,3
350,3,,Struck by an Excavator,3
351,4,,Fall onto Projecting Steel Starter Bars,1
352,20,,Struck by a Loader,3
353,3,,Trapped by the Spiked Cylinders of a Fiber Conveying Machine,4
355,3,,Struck by a lorry,3
363,4,,Collapse of Concrete Beam,4
364,3,,Trapped by the Tailgate of a Truck,4
369,3,,Trapped by the Tailgate of a Truck,4
370,3,,Fall from a Lorry-mounted Crane,1
371,5,,Person Struck by Mobile Plant,3
372,20,,Struck by a Chiller Being Transported,3
378,4,,Working Platform under Suspension at Height,0
380,14,,Cable Placement Work,0
382,20,,Crushed by a Coach Under Repair,4
395,3,,Stuck Lift,0
396,4,,Use of Portable Ladders,0
397,5,,Tree Work,0
