index,type,sub_type,title,label
209,3,,Struck by a load fallen from an Overturned Truck-mounted Crane,
210,3,,Trapped by an Overturned Excavator,
211,5,,Fall from a Planter,
214,3,,Trapped by the Jib of a Truck-mounted Crane,
215,4,,Fall from a Mobile Ladder Platform,
216,3,,Crushed underneath the Crawler of an Excavator under Repair,
217,3,,Collapse of a Tower Crane,
218,3,,Overturning of a Wheel-mounted Crane,
219,13,,Run over by a Maintenance Train,
226,7,,Worker Trapped between Two Dollies,
227,3,,Knocked down by a Fork-lift Truck,
230,3,,Trapped underneath the Dump Body of a Grab Loader,
231,3,,Trapped between a Refuse Container Tractor and a Refuse Tipper,
233,3,,Trapped by the Conveyor Belt of a Concrete Batching Plant,
235,3,,Fall from a Crawler-mounted Crane under Repair,
236,20,,Crushed by a Collapsed Vehicle under Repair,
237,3,,Trapped by an Overturned Fork-lift Truck,
239,4,,Collapse of a Working Platform on Metal Falsework,
241,20,,Struck by Moving Vehicle on a Carriageway,
242,3,,Overturning of a Crawler-mounted Piling Rig,
243,7,,Being Trapped by the Grab of a Grab Loader,
244,3,,Falling from an Extended Outrigger of a Truck-mounted Crane,
245,3,,Trapped in between a Vehicle and a Fork-lift Truck,
250,20,,Struck by Moving Vehicle on Expressway,
253,3,,Trapped by the Tail Lift of a Lorry,
254,20,,Struck by a Moving Vehicle,
259,3,,Overturning of a Truck-mounted Crane,
261,20,,Struck to Death by Bursting of an Aircraft Tyre,
262,20,,Struck by a Front Loader,
263,3,,Struck by the Counterweight of a Lift,
272,3,,Trapped by Moving Parts of a Concrete Batching Plant,
276,3,,Trapped by a Load on the Loading Platform of a Truck-mounted Crane,
277,3,,Struck by a Lorry,
279,3,,Trapped by the Lifting Jib of a Truck-mounted Crane,
280,3,,Trapped in between the Driving Cabin and the Boom of an Excavator,
283,4,,Collapse of a Metal Working Platform,
284,3,,Trapped by the Spiked Shafts of a Machine,
287,3,,Collapse of the Mast of a High Lift Order Picker,
288,3,,Overturn of a Front Loader,
292,5,,Struck by Falling Units of Plant,
293,3,,Struck by the Auxiliary Hook of a Crawler-mounted Crane,
295,20,,Entangled with the Revolving Part of a Bench Type Drilling Machine,
296,3,,Crushed by the Lattice Boom of a Crawler-mounted Crane,
297,3,,Struck by the Counterweight of a Lift,
298,4,,Failure of a Truck-mounted Elevating Work Platform,
301,3,,Truck Being Lifted by a Gantry Crane,
302,5,,Failure of a Bored Piling Plant,
303,20,,Struck by Water Pipes,
304,3,,Struck by Lift Car,
305,4,,Collapse of Lifting Frame,
309,20,,Struck by Falling Object,
316,3,,Struck by a Telescopic Boom Detached from a Lorry-mounted Crane,
320,3,,Struck by an Excavator,
321,3,,Trapped by the Tailgate of a Truck,
322,3,,A Fork-lift Truck Plunged into the Sea,
323,20,,Struck by a backstay of a drilling rig,
328,3,,Fall from a Lorry-mounted Crane,
329,3,,Trapped by a Fork-lift Truck,
331,3,,Struck by the Detached Telescopic Boom from a Truck,
332,20,,Struck by an I-Beam Structure,
333,20,,Struck by a Pile Casing,
339,20,,Struck by a Falling Bored Pile Casing,
342,20,,Struck by a Falling Drainage Pipe,
345,3,,Ran over by a Reversing Dumper Truck,
350,3,,Struck by an Excavator,
351,4,,Fall onto Projecting Steel Starter Bars,
352,20,,Struck by a Loader,
353,3,,Trapped by the Spiked Cylinders of a Fiber Conveying Machine,
355,3,,Struck by a lorry,
363,4,,Collapse of Concrete Beam,
364,3,,Trapped by the Tailgate of a Truck,
369,3,,Trapped by the Tailgate of a Truck,
370,3,,Fall from a Lorry-mounted Crane,
371,5,,Person Struck by Mobile Plant,
372,20,,Struck by a Chiller Being Transported,
378,4,,Working Platform under Suspension at Height,
380,14,,Cable Placement Work,
382,20,,Crushed by a Coach Under Repair,
395,3,,Stuck Lift,
396,4,,Use of Portable Ladders,
397,5,,Tree Work,
