flow,occupy,speed
240.0,0.0642,67.6
217.0,0.0545,69.8
259.0,0.0758,67.0
231.0,0.0587,68.6
228.0,0.0603,68.2
217.0,0.0561,68.8
195.0,0.0537,67.4
251.0,0.0683,67.0
238.0,0.0614,68.5
257.0,0.0692,67.3
270.0,0.0748,66.4
221.0,0.055999999999999994,68.4
216.0,0.0586,67.9
278.0,0.0739,67.7
203.0,0.0532,68.1
247.0,0.0664,68.4
209.0,0.0559,68.6
262.0,0.069,68.9
262.0,0.0749,66.5
296.0,0.0875,64.7
275.0,0.0815,63.5
234.0,0.0667,63.8
246.0,0.0694,64.2
238.0,0.0673,64.3
228.0,0.0617,66.0
248.0,0.0721,64.8
260.0,0.07,66.3
238.0,0.0659,66.4
264.0,0.071,66.6
271.0,0.0744,66.8
279.0,0.0743,67.4
195.0,0.052000000000000005,68.1
251.0,0.0711,66.2
266.0,0.0737,66.2
207.0,0.0576,65.8
232.0,0.0575,69.4
229.0,0.0609,69.2
210.0,0.0559,68.9
174.0,0.0458,68.9
181.0,0.0455,70.2
158.0,0.0428,68.5
202.0,0.0588,65.3
181.0,0.0451,68.7
202.0,0.053,68.6
146.0,0.0405,66.9
158.0,0.0424,67.4
160.0,0.0445,66.0
158.0,0.0417,66.8
126.0,0.0294,70.9
138.0,0.0343,71.4
133.0,0.035,69.5
128.0,0.0335,69.0
109.0,0.0307,66.8
160.0,0.0379,70.9
170.0,0.0417,71.4
166.0,0.0403,72.8
98.0,0.027000000000000003,68.3
135.0,0.0352,69.1
148.0,0.0357,73.1
124.0,0.0328,70.9
129.0,0.0348,68.4
134.0,0.0324,71.2
128.0,0.0341,69.4
132.0,0.0364,67.0
107.0,0.0301,65.4
154.0,0.0449,62.6
125.0,0.0361,62.2
106.0,0.0283,63.8
99.0,0.0273,64.0
138.0,0.0372,64.6
118.0,0.0338,63.8
110.0,0.0306,64.6
89.0,0.0204,69.1
108.0,0.0281,66.5
141.0,0.0368,66.6
102.0,0.0276,66.4
93.0,0.0265,65.1
97.0,0.0262,64.9
71.0,0.0178,65.9
105.0,0.027000000000000003,66.7
78.0,0.0207,67.5
112.0,0.0269,69.7
109.0,0.0316,65.8
110.0,0.0271,67.1
128.0,0.0277,71.8
92.0,0.0198,73.8
66.0,0.0156,71.4
61.0,0.0154,69.7
77.0,0.0184,69.1
68.0,0.0176,68.3
73.0,0.017,69.1
65.0,0.017,67.8
62.0,0.0165,67.5
61.0,0.0131,68.7
50.0,0.0134,67.1
70.0,0.0145,69.3
42.0,0.0118,67.1
74.0,0.0186,68.4
53.0,0.0121,69.0
31.0,0.0081,68.0
73.0,0.0191,67.3
66.0,0.0132,70.3
59.0,0.0125,70.7
26.0,0.0069,68.7
46.0,0.0115,68.0
77.0,0.0133,73.1
51.0,0.0112,71.9
43.0,0.01,69.6
50.0,0.0103,69.2
30.0,0.0085,67.6
55.0,0.0126,70.1
47.0,0.0114,68.7
70.0,0.0153,65.7
33.0,0.0066,67.8
30.0,0.0065,68.7
27.0,0.0076,66.4
42.0,0.0082,69.4
35.0,0.0077,68.2
52.0,0.0104,69.7
37.0,0.0086,68.1
49.0,0.01,69.3
56.0,0.0114,70.1
41.0,0.009000000000000001,68.3
44.0,0.0085,68.3
55.0,0.0115,68.3
31.0,0.0081,67.2
55.0,0.0107,68.0
27.0,0.0063,67.2
28.0,0.0097,66.1
49.0,0.0098,68.9
43.0,0.0094,69.4
50.0,0.013000000000000001,68.3
26.0,0.009000000000000001,66.5
40.0,0.0097,66.4
28.0,0.0059,68.1
56.0,0.0124,69.9
67.0,0.0168,70.2
61.0,0.0132,71.0
36.0,0.0099,69.6
65.0,0.016,70.3
70.0,0.0221,65.8
74.0,0.0223,64.0
55.0,0.0161,65.3
85.0,0.0247,65.0
87.0,0.0257,64.7
77.0,0.0219,65.3
84.0,0.0219,67.5
104.0,0.0244,73.0
131.0,0.0354,71.2
105.0,0.0241,74.4
95.0,0.0244,72.6
115.0,0.0361,67.2
130.0,0.04,65.1
188.0,0.0522,66.5
186.0,0.0523,66.3
162.0,0.048,65.6
179.0,0.0498,66.0
154.0,0.0428,66.6
187.0,0.0545,65.7
164.0,0.0485,68.4
157.0,0.049,68.9
284.0,0.08,72.2
251.0,0.0743,71.9
271.0,0.0809,71.6
388.0,0.1263,69.2
348.0,0.1074,69.3
395.0,0.1181,70.2
452.0,0.1637,64.4
446.0,0.1461,64.7
395.0,0.1359,63.4
453.0,0.1497,63.7
481.0,0.1541,60.1
474.0,0.1636,56.2
509.0,0.1758,54.2
501.0,0.1876,51.5
491.0,0.1942,50.0
433.0,0.1503,51.0
330.0,0.1275,49.6
430.0,0.15,50.9
429.0,0.1562,50.4
486.0,0.1689,51.1
464.0,0.1587,52.0
493.0,0.1762,51.2
459.0,0.1678,50.3
456.0,0.1491,52.9
297.0,0.0925,55.5
304.0,0.0974,55.9
315.0,0.1128,53.7
327.0,0.1004,56.2
314.0,0.0953,58.1
346.0,0.1078,58.0
497.0,0.1709,55.4
426.0,0.1442,54.5
401.0,0.1342,54.3
514.0,0.1694,54.8
317.0,0.1017,55.8
366.0,0.1111,58.0
300.0,0.0889,59.8
440.0,0.1477,57.4
359.0,0.1147,57.1
419.0,0.128,58.4
376.0,0.1184,57.9
399.0,0.1289,56.8
450.0,0.1339,58.8
369.0,0.1191,57.7
420.0,0.1337,57.4
390.0,0.1205,58.3
393.0,0.1127,60.7
342.0,0.10300000000000001,60.5
385.0,0.12,60.0
398.0,0.1282,58.0
404.0,0.1283,58.1
384.0,0.1225,57.2
413.0,0.1403,55.5
359.0,0.1083,57.9
338.0,0.1002,59.4
341.0,0.0975,61.3
326.0,0.109,58.1
348.0,0.1012,60.0
339.0,0.1031,59.7
332.0,0.1056,58.6
304.0,0.0872,60.9
318.0,0.0925,61.9
270.0,0.0823,60.6
315.0,0.0962,60.2
246.0,0.0736,61.2
279.0,0.0826,61.1
314.0,0.0945,61.3
280.0,0.0799,62.2
266.0,0.0799,61.0
261.0,0.079,59.6
233.0,0.0723,59.0
186.0,0.0552,59.6
224.0,0.0735,58.2
195.0,0.0556,60.9
232.0,0.0806,56.9
259.0,0.0814,57.4
217.0,0.0686,56.5
160.0,0.0461,59.6
201.0,0.061,59.2
265.0,0.0785,60.3
240.0,0.0665,62.4
241.0,0.0677,63.6
247.0,0.0689,64.3
186.0,0.0562,61.6
188.0,0.0578,60.3
216.0,0.0633,60.7
178.0,0.0806,53.3
236.0,0.0695,57.7
224.0,0.0648,59.7
236.0,0.0632,62.9
197.0,0.0605,60.9
248.0,0.0698,63.2
219.0,0.0664,60.6
217.0,0.0662,59.8
190.0,0.0536,61.4
209.0,0.0654,60.2
224.0,0.0745,58.2
221.0,0.0675,58.3
271.0,0.0811,59.9
224.0,0.0653,60.7
229.0,0.0642,62.8
204.0,0.0611,61.3
216.0,0.0608,62.4
212.0,0.0589,64.1
197.0,0.0586,62.6
205.0,0.0595,62.4
169.0,0.0492,61.9
204.0,0.0576,63.5
184.0,0.0894,55.7
206.0,0.0635,57.1
197.0,0.0568,60.2
197.0,0.057,61.0
187.0,0.0537,61.9
220.0,0.0667,61.2
227.0,0.0671,61.1
244.0,0.0694,61.9
235.0,0.064,63.7
205.0,0.055999999999999994,64.7
194.0,0.0518,65.7
233.0,0.0669,63.9
214.0,0.0592,64.1
182.0,0.0527,63.2
247.0,0.0714,62.6
279.0,0.0783,63.5
171.0,0.0477,63.7
219.0,0.0654,62.0
223.0,0.0658,61.5
221.0,0.0617,63.4
255.0,0.0679,65.3
244.0,0.0646,66.2
141.0,0.0385,65.5
150.0,0.0399,66.6
252.0,0.0657,67.3
249.0,0.0682,66.2
269.0,0.0756,65.1
224.0,0.06,65.7
235.0,0.0636,65.5
171.0,0.0473,65.4
197.0,0.049,68.3
250.0,0.0685,67.1
229.0,0.0594,67.8
262.0,0.0678,68.3
209.0,0.0586,66.4
252.0,0.0678,67.0
273.0,0.071,68.1
222.0,0.0578,68.3
256.0,0.0694,67.5
267.0,0.0734,66.2
306.0,0.08800000000000001,64.4
244.0,0.0684,64.1
304.0,0.0864,64.1
259.0,0.075,63.8
253.0,0.0763,62.5
246.0,0.0696,63.3
267.0,0.0784,62.7
214.0,0.063,62.3
221.0,0.0621,63.1
300.0,0.092,61.4
234.0,0.0668,62.0
204.0,0.0621,61.0
207.0,0.0599,61.3
206.0,0.0591,61.9
201.0,0.0644,59.2
190.0,0.0531,61.4
193.0,0.0536,62.7
197.0,0.0591,61.8
188.0,0.0583,60.1
122.0,0.0357,61.3
172.0,0.0535,60.5
134.0,0.0404,60.8
158.0,0.0477,60.5
149.0,0.0423,62.3
152.0,0.0363,67.1
148.0,0.0425,65.2
179.0,0.0499,65.3
145.0,0.0387,66.0
126.0,0.0401,62.1
136.0,0.0396,63.4
106.0,0.0302,63.7
97.0,0.0278,62.9
152.0,0.0535,57.6
27.0,0.0068,63.5
203.0,0.0949,51.3
147.0,0.0494,52.6
124.0,0.0417,53.2
133.0,0.040999999999999995,56.7
113.0,0.0333,59.0
112.0,0.0344,59.4
91.0,0.0252,61.6
160.0,0.0418,65.5
134.0,0.0353,66.7
109.0,0.036000000000000004,60.5
117.0,0.0332,61.5
123.0,0.0388,59.4
81.0,0.018000000000000002,70.6
95.0,0.0271,66.1
202.0,0.065,60.9
118.0,0.0299,65.1
131.0,0.0412,60.5
93.0,0.0293,59.8
26.0,0.0028,67.7
17.0,0.0021,69.4
208.0,0.0638,61.2
181.0,0.0507,61.3
82.0,0.0226,63.6
89.0,0.0234,64.0
107.0,0.0278,64.6
89.0,0.0245,64.3
124.0,0.0293,67.0
94.0,0.0221,69.8
95.0,0.0245,68.0
95.0,0.0276,64.8
71.0,0.0147,69.3
76.0,0.0187,68.7
72.0,0.0191,66.5
94.0,0.0266,65.6
65.0,0.0157,65.9
76.0,0.0173,68.0
67.0,0.0159,68.1
54.0,0.0138,67.1
71.0,0.0165,67.9
99.0,0.0247,68.4
71.0,0.0175,68.8
49.0,0.0122,67.4
43.0,0.0106,67.3
41.0,0.0104,66.7
38.0,0.01,68.6
41.0,0.0094,67.4
27.0,0.0076,67.5
47.0,0.0133,66.2
34.0,0.0134,63.6
68.0,0.016,66.2
26.0,0.008,66.2
40.0,0.0101,66.5
77.0,0.016,69.5
33.0,0.0085,67.1
33.0,0.0077,67.8
44.0,0.0101,68.8
37.0,0.0108,66.4
44.0,0.0078,70.6
39.0,0.0073,70.2
46.0,0.008,71.4
40.0,0.0098,70.0
47.0,0.0089,69.8
40.0,0.0093,68.7
24.0,0.0065,68.2
42.0,0.0111,67.3
31.0,0.0075,67.8
30.0,0.0059,69.2
47.0,0.01,68.4
34.0,0.0074,66.9
41.0,0.0082,68.9
31.0,0.0074,68.5
22.0,0.006999999999999999,66.6
76.0,0.0126,71.7
38.0,0.0069,70.5
22.0,0.0065,68.2
73.0,0.0163,70.2
68.0,0.0145,71.3
72.0,0.0164,68.7
63.0,0.0128,69.0
39.0,0.0092,67.9
48.0,0.0117,68.6
80.0,0.015,73.9
53.0,0.0122,71.1
60.0,0.0132,70.8
58.0,0.0136,70.2
67.0,0.0205,68.5
58.0,0.0194,64.2
91.0,0.0215,70.5
80.0,0.0222,66.6
61.0,0.0162,67.2
80.0,0.0221,66.2
81.0,0.0251,64.8
96.0,0.0237,67.4
82.0,0.0223,68.3
77.0,0.0202,68.2
95.0,0.0274,67.3
126.0,0.0325,69.7
133.0,0.0384,67.4
144.0,0.0385,68.3
156.0,0.0478,65.9
177.0,0.0536,64.0
147.0,0.0427,64.2
214.0,0.0621,64.4
197.0,0.0547,65.0
230.0,0.0641,71.0
183.0,0.0519,72.0
218.0,0.0663,70.2
277.0,0.0851,68.9
264.0,0.0775,69.9
343.0,0.1158,66.8
396.0,0.1217,67.3
336.0,0.1035,67.4
449.0,0.1371,67.6
436.0,0.1267,69.5
323.0,0.1066,66.2
425.0,0.1396,64.7
431.0,0.1369,60.5
401.0,0.133,57.4
365.0,0.115,57.4
301.0,0.0965,56.7
168.0,0.0546,56.7
292.0,0.0822,60.3
316.0,0.0979,58.9
315.0,0.0985,58.4
386.0,0.1169,58.8
398.0,0.1231,58.1
410.0,0.1311,57.1
477.0,0.1572,55.6
464.0,0.1552,54.7
418.0,0.1455,53.3
470.0,0.1676,51.6
487.0,0.1731,51.0
443.0,0.1511,51.9
428.0,0.1839,47.4
489.0,0.1654,50.3
447.0,0.1697,49.0
427.0,0.1345,53.1
297.0,0.091,56.2
387.0,0.1187,57.4
331.0,0.0967,59.4
377.0,0.1132,59.8
241.0,0.0738,59.3
372.0,0.1102,60.2
381.0,0.1187,59.1
338.0,0.1044,58.6
316.0,0.0986,58.2
454.0,0.1417,58.1
425.0,0.1312,58.3
415.0,0.1228,59.2
386.0,0.1188,58.8
357.0,0.1044,60.1
401.0,0.1261,58.6
306.0,0.0954,58.6
401.0,0.12300000000000001,58.7
413.0,0.1612,52.6
311.0,0.0911,57.0
422.0,0.1366,56.4
429.0,0.1211,59.9
401.0,0.1228,59.6
316.0,0.0965,59.2
402.0,0.1228,59.1
349.0,0.10300000000000001,60.2
389.0,0.1565,54.5
328.0,0.0957,58.1
319.0,0.0927,60.4
286.0,0.0861,60.0
272.0,0.078,61.4
317.0,0.096,60.7
360.0,0.1088,60.1
291.0,0.08900000000000001,59.8
344.0,0.1325,54.6
308.0,0.0855,59.8
269.0,0.0748,61.9
275.0,0.0803,61.7
251.0,0.0757,61.1
257.0,0.0779,60.1
248.0,0.0725,61.2
266.0,0.0754,62.1
248.0,0.0744,61.9
235.0,0.0688,61.8
244.0,0.0763,59.9
253.0,0.0743,60.7
255.0,0.0778,59.8
206.0,0.0666,58.5
224.0,0.067,59.5
211.0,0.0562,62.3
238.0,0.0704,62.1
202.0,0.0612,60.9
230.0,0.0676,61.5
183.0,0.0511,63.0
215.0,0.0651,61.3
236.0,0.0687,61.9
235.0,0.0686,62.0
213.0,0.0647,61.0
180.0,0.0501,62.6
233.0,0.064,64.9
227.0,0.0665,63.0
194.0,0.0569,62.4
181.0,0.0523,62.4
227.0,0.0592,65.8
158.0,0.0452,63.7
186.0,0.0517,64.4
198.0,0.054000000000000006,65.0
220.0,0.0591,65.7
241.0,0.0704,64.2
219.0,0.0589,65.1
246.0,0.0664,66.2
173.0,0.0424,68.8
270.0,0.07,68.5
186.0,0.0518,66.5
212.0,0.0582,65.7
190.0,0.0537,64.6
219.0,0.0582,65.7
193.0,0.0538,64.9
193.0,0.0521,65.6
213.0,0.0557,66.6
221.0,0.0595,66.4
230.0,0.062,66.7
149.0,0.0407,65.9
230.0,0.0643,65.2
219.0,0.0592,65.6
211.0,0.0585,65.1
205.0,0.0539,66.1
217.0,0.0613,64.9
174.0,0.047,65.3
179.0,0.0485,65.9
236.0,0.063,66.2
197.0,0.0537,65.5
204.0,0.0565,64.9
181.0,0.0519,63.6
213.0,0.0576,65.1
164.0,0.0474,63.4
207.0,0.0547,66.3
222.0,0.0591,66.0
250.0,0.069,65.5
213.0,0.0555,66.7
202.0,0.0528,67.2
212.0,0.0596,65.5
235.0,0.0651,65.1
205.0,0.0529,66.7
235.0,0.0604,67.9
298.0,0.0788,67.5
248.0,0.0642,67.7
254.0,0.0682,66.9
242.0,0.065,66.3
239.0,0.0659,65.4
283.0,0.0751,66.3
270.0,0.1012,59.1
233.0,0.0621,62.0
234.0,0.0653,63.6
